S_no,District,Diagnosed_Cases,Deaths,Recovered_cases,Active_Cases,Population,CasesPerMillion
1, Ariyalur, 3517, 38, 3292, 187, 754894, 4658.93
2, Chengalpattu, 32799, 523, 29852, 2424, N/A, 12830.93
3, Chennai, 156625, 3074, 143680, 9871, 4646732, 33706.48
4, Coimbatore, 26562, 388, 21699, 4475, 3458045, 7681.22
5, Cuddalore, 18301, 203, 15890, 2208, 2605914, 7022.87
6, Dharmapuri, 6660, 55, 6596, 9, 1506843, 4419.84
7, Dindigul, 8451, 154, 7700, 597, 2159775, 3912.91
8, Erode, 5628, 72, 4412, 1144, 2251744, 2499.40
9, Kallakurichi, 8759, 92, 7798, 869, 1370281, 6392.12
10, Kancheepuram, 20594, 298, 19235, 1061, 1166401, 17656.02
11, Kanyakumari, 11883, 215, 11037, 631, 1870374, 6353.27
12, Karur, 2627, 36, 2119, 472, 1064493, 2467.84
13, Krishnagiri, 3838, 51, 2951, 836, 1883731, 2037.45
14, Madurai, 15963, 379, 14792, 792, 3038252, 5254.01
15, Nagapattinam, 4814, 75, 3795, 944, 1616450, 2978.13
16, Namakkal, 4263, 61, 3268, 934, 1726601, 2469.01
17, Nilgiris, 3090, 20, 2346, 724, 735394, 4201.83
18, Perambalur, 1669, 20, 1547, 102, 565223, 2952.82
19, Pudukkottai, 8254, 124, 7313, 817, 1618345, 5100.27
20, Ramanathapuram, 5393, 115, 5048, 230, 1353445, 3984.65
21, Ranipet, 12695, 152, 12003, 540, 1210277, 10489.33
22, Salem, 16790, 264, 14266, 2260, 3482056, 4821.86
23, Sivagangai, 4840, 116, 4445, 279, 1339101, 3614.37
24, Tenkasi, 6861, 126, 6095, 640, 1407627, 4874.16
25, Thanjavur, 9495, 148, 8204, 1143, 2405890, 3946.56
26, Theni, 14277, 168, 13562, 547, 1245899, 11459.20
27, Tirunelveli, 11898, 194, 10742, 962, 1665253, 7144.86
28, Tirupattur, 4383, 81, 3664, 638, 1111812, 3942.21
29, Tiruppur, 6220, 95, 4535, 1590, 2479052, 2509.02
30, Tiruvallur, 30352, 522, 28110, 1720, 3728104, 8141.40
31, Tiruvannamalai, 14311, 208, 12900, 1203, 2494875, 5736.16
32, Tiruvarur, 6194, 66, 5301, 827, 1264277, 4899.24
33, Tiruchirappalli, 9633, 141, 8725, 767, 2722290, 3538.56
34, Thoothukudi, 12956, 120, 12033, 803, 1750176, 7402.68
35, Vellore, 13651, 209, 12526, 916, 1614242, 8456.60
36, Villuppuram, 10525, 92, 9449, 984, 2093003, 5028.66
37, Virudhunagar, 14066, 208, 13542, 316, 1942288, 7241.97
