S.no,lap_name,price,processor,operating_system,graphics_card,RAM,Memory,Screen_size,weight
1, Latitude 14 3410 Laptop, ₹ 53753.82, 10th Generation Intel® Core™ i3-10110U, Windows 10 Pro (64-bit) English, Integrated Intel UHD for 10th Generation Intel Core i3-10110U, 4 GB 1x4 GB 3200MHz DDR4 Non-ECC, 1TB 2.5" 5400RPM 7mm SMR Hard Drive, 35.5-cm. display, Starting at 1.53 kg
2, Latitude 15 3510 Laptop, ₹ 54120.04, 10th Generation Intel® Core™ i3-10110U, Windows 10 Pro (64-bit) English, Integrated Intel UHD for 10th Generation Intel Core i3-10110U, 8 GB 1X8 GB 3200MHz DDR4 Non-ECC, M.2 256GB PCIe NVMe Class 35 Solid State Drive, 39.6-cm. display, Starting at 1.79 kg
3, New Latitude 14 3420 Laptop, ₹ 56515.01, Intel Celeron 6305 Processor, Windows 10 Pro (64-bit) English, Intel® UHD graphics for Celeron 6305U processor, 4 GB 1x4 GB 3200MHz DDR4 Non-ECC, 2.5" 500GB 7200 RPM SATA Hard Drive, 35.5-cm. display, Starting at 1.52 kg
4, New Latitude 15 3520 Laptop, ₹ 57196.83, Intel Celeron 6305 Processor, Windows 10 Pro (64-bit) English, Intel® UHD graphics for Celeron 6305U processor, 4 GB 1x4 GB 3200MHz DDR4 Non-ECC, 2.5" 500GB 7200 RPM SATA Hard Drive, 39.6-cm. display, Starting at 1.79 kg
5, Latitude 13 3310 Laptop, ₹ 69492.40, 8th Generation Intel® Core™ i3-8145U Processor, Windows 10 Pro 64-bit English, Intel® Core™ i3-8145U processor w/Intel® UHD graphics 620, 4 GB 1x4 GB 3200MHz DDR4 Non-ECC, M.2 128GB PCIe NVMe Class 35 Solid State Drive, 33.7-cm. display, Starting at 1.56 kg
6, Latitude 13 3310 Laptop, ₹ 69718.40, 8th Generation Intel® Core™ i5-8265U Processor, Windows 10 Pro (64-bit) English, Intel® Core™ i5-8265U processor w/Intel® UHD graphics 620, 4 GB 1x4 GB 3200MHz DDR4 Non-ECC, M.2 128GB PCIe NVMe Class 35 Solid State Drive, 33.7-cm. display, Starting at 1.56 kg
7, Latitude 14 3410 Laptop, ₹ 71403.12, 10th Generation Intel® Core™ i5-10210U, Windows 10 Pro (64-bit) English, Integrated Intel UHD for 10th Generation Intel Core i5-10210U, 4 GB 1x4 GB 3200MHz DDR4 Non-ECC, 2.5" 500GB 7200 RPM SATA Hard Drive, 35.5-cm. display, Starting at 1.53 kg
8, Latitude 15 3510 Laptop, ₹ 71751.07, 10th Generation Intel® Core™ i5-10210U, Windows 10 Pro (64-bit) English, Integrated Intel UHD for 10th Generation Intel Core i5-10210U, 8 GB 1X8 GB 3200MHz DDR4 Non-ECC, 1TB 2.5" 5400RPM 7mm SMR Hard Drive, 39.6-cm. display, Starting at 1.79 kg
9, Latitude 15 3510 Laptop, ₹ 72617.59, 10th Generation Intel® Core™ i5-10210U, Windows 10 Pro (64-bit) English, Integrated Intel UHD for 10th Generation Intel Core i5-10210U, 4 GB 1x4 GB 3200MHz DDR4 Non-ECC, 2.5" 500GB 7200 RPM SATA Hard Drive, 39.6-cm. display, Starting at 1.79 kg
10, New Latitude 14 3420 Laptop, ₹ 77037.58, 11th Generation Intel® Core™ i5-1135G7, Windows 10 Pro (64-bit) English, Intel® Iris® Xe graphics for i5-1135G7 processor, 8 GB 1X8 GB 3200MHz DDR4 Non-ECC, 1TB 2.5" 5400RPM 7mm SMR Hard Drive, 35.5-cm. display, Starting at 1.52 kg
11, New Latitude 14 3420 Laptop, ₹ 78694.29, 11th Generation Intel® Core™ i5-1135G7, Windows 10 Pro (64-bit) English, Intel® Iris® Xe graphics for i5-1135G7 processor, 8 GB 1X8 GB 3200MHz DDR4 Non-ECC, M.2 256GB PCIe NVMe Class 35 Solid State Drive, 35.5-cm. display, Starting at 1.52 kg
12, New Latitude 15 3520 Laptop, ₹ 78816.78, 11th Generation Intel® Core™ i5-1135G7, Windows 10 Pro (64-bit) English, Intel® Iris® Xe graphics for i5-1135G7 processor, 8 GB 1X8 GB 3200MHz DDR4 Non-ECC, M.2 256GB PCIe NVMe Class 35 Solid State Drive, 39.6-cm. display, Starting at 1.79 kg
